DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,0.916480665870,0.995657285757,0.939090615612,0.949938805823,0.046086840673,0.055856990625,0.138442886420,0.165834439428
BE,0.744998507017,0.852493281577,0.903461118817,0.920193079141,0.034685041800,0.042199890876,0.000000411448,0.000007738638
BG,0.012690355330,0.241116751269,0.971210397365,0.976754403434,0.031276111935,0.038116667191,0.563183363984,0.674589516950
CY,0.297476858764,0.478874290833,0.967750434539,0.973865810615,0.018714301141,0.023070102614,0.008180378304,0.009805720915
CZ,0.462411188267,0.616571758583,0.168179914629,0.306334459131,0.583748711809,0.699869561546,0.082349714205,0.098645914468
DE,0.500895789788,0.648701104807,0.989404244992,0.991943762462,0.003257457824,0.004555861719,0.249375819247,0.298710150177
DK,0.328989225000,0.505182780076,0.413954647156,0.511522538580,0.473698466232,0.568051135526,0.050807796700,0.060864936358
ES,0.649814438629,0.773027683198,0.166946578046,0.305304792809,0.611414989830,0.733008290165,0.827266403627,0.990908762237
FR,0.155083607047,0.359995521051,0.603356392335,0.669646931344,0.281705657008,0.338081726674,0.348320113380,0.417225843150
GR,0.202548024340,0.399621777690,0.769441698417,0.808305306146,0.136517899743,0.164175511929,0.074462562610,0.089198666953
HU,0.582263362198,0.716631830397,0.950497089132,0.959461641514,0.043969633431,0.053320995138,0.071276215410,0.085382053273
IE,0.481676769185,0.632655867423,0.009134385755,0.173553329520,0.633019689353,0.758886446736,0.224571035208,0.268998925339
IT,0.012690355330,0.241116751269,0.803773635633,0.836967749143,0.186059977222,0.223517121216,0.177253757849,0.212322186525
LT,0.744998507017,0.852493281577,0.997065596744,0.998339936860,0.000036741055,0.000698080094,0.199512173571,0.238983365796
LU,0.012690355330,0.241116751269,0.906175854182,0.922459509584,0.049160464432,0.059538583920,0.000798730278,0.000963966687
LV,0.094057927740,0.309047476859,0.994253471519,0.995992199287,0.009309240505,0.011804700314,0.010343118157,0.012396255465
MT,0.018717582910,0.246148656863,0.022734501811,0.184907554852,0.826701570819,0.990879030031,0.044176140128,0.052921523540
PL,0.117105292625,0.328288854882,0.949593111776,0.958706944822,0.026028279431,0.031830801885,0.570630275900,0.683509444410
PT,0.033032248432,0.258099432666,0.567910657618,0.640054620709,0.158957726397,0.191053985613,0.002603191611,0.003125354437
RO,0.602605255300,0.733614511795,0.907746855107,0.923771079163,0.064289948665,0.077660713385,0.080977198745,0.097001912433
SE,0.094546133174,0.309455061212,0.998990375022,0.999946861845,0.001510894098,0.002463823849,0.031659269643,0.037928788563
SK,0.407414620036,0.570657192446,0.814524074977,0.845942886578,0.173885438922,0.208934432484,0.143337698120,0.171697455641
UK,0.434670214056,0.593411862683,0.596614576823,0.664018443164,0.275382276079,0.330507567100,0.255580942852,0.306142660869
