DMUs,LB1,UB1,LB2,UB2,LB3,UB3,LB4,UB4
AT,25.278825000000,33.646175000000,968315729.237999916077,1288830492.762000083923,358277148.200399935246,476867719.399600088596,119190.657299999992,158643.042700000020
BE,34.320000000000,45.680000000000,1493504450.723999738693,1987857905.276000261307,275573937.896399974823,366789553.703600049019,31.883280000000,42.436720000000
BG,72.930000000000,97.070000000000,494861186.476799964905,658661392.723200082779,250847186.732999950647,333878190.267000019550,484768.884599999874,645228.515400000033
CY,57.915000000000,77.085000000000,545862003.686999917030,726543599.313000082970,159729803.290199995041,212600740.509800016880,7072.459679999998,9413.460320000000
CZ,49.219050832380,65.510671387620,12331754504.783998489380,16413593991.216001510620,4258219893.641999244690,5667700604.358000755310,70910.722739999983,94382.337260000015
DE,47.190000000000,62.810000000000,226678797.344999969006,301710007.655000030994,47613234.874919995666,63373326.605080008507,214671.702959999966,285728.537040000025
DK,56.253551253900,74.873607846100,8708966389.265998840332,11591654564.734001159668,3459967906.823999404907,4605225349.176000595093,43762.289999999994,58247.710000000006
ES,39.338456877720,52.359577802280,12349934230.061998367310,16437791247.938001632690,4458897877.433999061584,5934803468.566000938416,712067.704919999931,947763.775080000050
FR,65.422500000000,87.077500000000,5917131832.325999259949,7875716261.674000740051,2067343650.371999740601,2751639217.628000259399,299834.011619999947,399079.768380000081
GR,62.919999997140,83.746666662860,3468988091.711999416351,4617231236.288000106812,1014220914.563999891281,1349930401.436000108719,64122.175259999989,85346.764740000013
HU,42.900000000000,57.100000000000,800181127.745999932289,1065042946.254000067711,342919936.787999927998,456427235.212000072002,61379.655479999987,81696.464520000009
IE,48.203298000000,64.158702000000,14676129965.639997482300,19533963194.360000610352,4615608062.207999229431,6143385089.792000770569,193321.985999999975,257312.014000000025
IT,72.930000000000,97.070000000000,2962925760.365999698639,3943661093.634000301361,1373575512.737999916077,1828232209.262000083923,152595.548819999996,203105.031180000020
LT,34.320000000000,45.680000000000,113748335.414999976754,151399299.585000008345,24251691.732839997858,32279058.227160003036,171753.581999999966,228604.418000000034
LU,72.930000000000,97.070000000000,1453488494.171999692917,1934596573.828000307083,380571748.814399957657,506541884.785600066185,719.004000000000,956.996000000000
LV,68.640000000000,91.360000000000,155199845.657999962568,206571356.342000037432,91509979.703999981284,121799996.296000018716,8933.950739999998,11891.109260000003
MT,72.612222222540,96.647037037460,14475660461.261997222900,19267137816.738002777100,6020484043.001998901367,8013278294.998001098633,38054.359199999999,50650.440800000004
PL,67.424857500000,89.742642500000,813506006.141399860382,1082778390.458600044250,212781913.000799953938,283213222.199200034142,491178.513539999956,653759.746460000053
PT,71.857500000000,95.642500000000,6439611849.527998924255,8571138382.472001075745,1176988713.185999870300,1566574720.814000129700,2272.121279999999,3024.198720000000
RO,41.827500000000,55.672500000000,1430331502.313999891281,1903774563.686000108719,490313810.586599946022,652608824.813400149345,69729.385439999984,92809.974560000002
SE,68.614260000000,91.325740000000,85376566.678259983659,113636409.261740013957,34944494.725139990449,46511203.934860005975,27280.967999999997,36311.032000000007
SK,52.118673750000,69.370076250000,2804461285.625999450684,3732744508.374000549316,1285267219.235999822617,1710693664.764000177383,123403.668959999981,164250.571040000010
UK,50.681657812500,67.457404687500,6016508073.575999259949,8007986270.424000740051,2021476861.403999805450,2690590414.596000194550,220012.512719999970,292837.167280000052
