DMUs,EU co-financing,Eligible cost decided,Total eligible spending,GHG reduction
AT,29.4625,1128573111,417572433.8,138916.85
BE,40,1740681178,321181745.8,37.16
BG,85,576761289.6,292362688.5,564998.7
CY,67.5,636202801.5,186165271.9,8242.96
CZ,57.36486111,14372674248,4962960249,82646.53
DE,55,264194402.5,55493280.74,250200.12
DK,65.56357955,10150310477,4032596628,51005
ES,45.84901734,14393862739,5196850673,829915.74
FR,76.25,6896424047,2409491434,349456.89
GR,73.33333333,4043109664,1182075658,74734.47
HU,50,932612037,399673586,71538.06
IE,56.181,17105046580,5379496576,225317
IT,85,3453293427,1600903861,177850.29
LT,40,132573817.5,28265374.98,200179
LU,85,1694042534,443556816.8,838
LV,80,180885601,106654988,10412.53
MT,84.62962963,16871399139,7016881169,44352.4
PL,78.58375,948142198.3,247997567.6,572469.13
PT,83.75,7505375116,1371781717,2648.16
RO,48.75,1667053033,571461317.7,81269.68
SE,79.97,99506487.97,40727849.33,31796
SK,60.744375,3268602897,1497980442,143827.12
UK,59.06953125,7012247172,2356033638,256424.84
